First Name,Last Name,Display Name,Nickname,Primary Email,Secondary Email,Screen Name,Work Phone,Home Phone,Fax Number,Pager Number,Mobile Number,Home Address,Home Address 2,Home City,Home State,Home ZipCode,Home Country,Work Address,Work Address 2,Work City,Work State,Work ZipCode,Work Country,Job Title,Department,Organization,Web Page 1,Web Page 2,Birth Year,Birth Month,Birth Day,Custom 1,Custom 2,Custom 3,Custom 4,Notes
Business,Development Unit,BDU,NA,bdu@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal,Audit,Internal Audit Dept,NA,audit@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micro,Finance,Micro Finance Dept,NA,microfinance@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Risk,Compliance,Risk and Complaince,NA,riskandcompliance@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Credit,Department,Credit Dept,NA,credit@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Legal,Department,Legal Dept,NA,legal@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Informatioj,Technology,I.T Dept,NA,itsupport@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internal,Control,Internal Control,NA,internalcontrol@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chief,Executive Officer,Chief Executive Office,NA,ceooffice@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banking,Operations,Banking Operations,NA,operations@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coorprate,Support,Coorprate Support Dept,NA,csd@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Human,Resource,Human Resource Dept,NA,hr@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance,Department,Finance Dept,NA,finance@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Controller Accountant ,General Department,CAGD Unit,,cagd@akuapemruralbankplc.local,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
